word,synonyms
tốt,xuất sắc;hoàn hảo;hảo hạng;tuyệt vời;chất lượng cao;quá tốt;cực kỳ tốt;ưu tú
xấu,xấu xa;tệ hại;kém cỏi;dở hơi;bỏ đi
đẹp,xinh đẹp;đẹp đẽ;mỹ lệ;duyên dáng;quyến rũ;lộng lẫy;rực rỡ;diễm lệ;khả ái;thanh tú
xấu xí,thô xấu;kém duyên;xấu mã;thô kệch;xấu đau xấu đớn
vui,vui vẻ;hân hoan;vui mừng;hớn hở;hỉ hả;hả hê;tươi vui;khoái chí;vui sướng
buồn,buồn bã;âu sầu;não nề;thê lương;u uất;rầu rĩ;não lòng;ỉu xìu
tức giận,nổi giận;phẫn nộ;điên tiết;bực bội;cáu kỉnh;tức tối;ức chế;bực mình;nóng giận;giận dữ;bực tức
sợ,sợ hãi;kinh hãi;hoảng loạn;hoảng sợ;rùng mình;khiếp sợ;ghê sợ;ớn lạnh;hốt hoảng
yêu,yêu thương;yêu mến;quý mến;mến yêu;trân trọng;quý trọng;say mê;phải lòng
ghét,căm ghét;chán ghét;khinh thường;ghét bỏ;ác cảm;dị ứng
mua,mua sắm;tậu;đặt mua;mua về;đặt hàng
bán,rao bán;thanh lý;xả hàng;giải phóng hàng;bán ra
nhanh,nhanh chóng;nhanh lẹ;tức tốc;chóng vánh;kịp thời;tức thì
chậm,lề mề;ì ạch;chầm chậm;thủng thẳng;lừ đừ
nhiều,số lượng lớn;phong phú;dồi dào;vô số;vô vàn;không đếm xuể;vô khối
ít,khan hiếm;ít ỏi;không nhiều;nhỏ lẻ;không đủ;thiếu thốn;hạn chế
đắt,cao giá;đắt đỏ;đắt tiền;giá cao;không rẻ;giá chát;giá hơi cao
rẻ,bình dân;giá thấp;giá rẻ;siêu rẻ;giảm giá;khuyến mãi;deal ngon;giá tốt;phải chăng
giao hàng,vận chuyển;giao nhận;delivery;chuyển phát;giao tận nơi;giao đến tay
đặt hàng,mua hàng;đặt trước;đăng ký mua;booking
chất lượng,xịn xò;đỉnh cao;chuẩn chỉnh;ngon lành;đáng tiền;đáng mua
hài lòng,thỏa mãn;vừa ý;ưng ý;không phàn nàn;đáp ứng được;như kỳ vọng
thất vọng,không hài lòng;không như mong đợi;hụt hẫng;phải phàn nàn;kỳ vọng nhiều hơn
giao nhanh,giao lẹ;giao đúng hẹn;giao kịp thời;ship nhanh;vận chuyển nhanh;nhận hàng sớm
hàng giả,hàng nhái;fake;đồ giả;hàng kém chất lượng;hàng không chính hãng;đồ rởm;hàng dỏm
chính hãng,authentic;chính gốc;hàng xịn;hàng thật;hàng gốc;hàng chuẩn;genuine;hàng thật 100%
đóng gói,packaging;gói hàng;bao bì;đóng thùng;bọc hàng;bao gói
sản phẩm,mặt hàng;hàng hóa;vật phẩm;item;món hàng
nhận xét,đánh giá;review;bình luận;phản hồi;comment;feedback;ý kiến
tuyệt vời,xuất sắc;đỉnh cao;hoàn hảo;thần kỳ;phi thường;kỳ diệu;vượt trội;cực kỳ tốt
bình thường,không nổi bật;trung bình;không đặc biệt;ok thôi;bình bình
tiện lợi,dễ dùng;thuận tiện;dễ sử dụng;thân thiện;tiện ích;dễ thao tác;không phức tạp
rất,vô cùng;hết sức;cực kỳ;tuyệt đối;cực đỉnh
khá,tương đối;kha khá;vừa phải;không tệ
ăn,dùng bữa;thưởng thức ẩm thực;nhậu;xơi;nhấm nháp
uống,nhâm nhi;nhấp môi;nốc
giúp,hỗ trợ;giúp đỡ;cứu giúp;trợ giúp;tiếp sức
trả,hoàn trả;trả lại;refund;bồi thường
thanh toán,trả tiền;chi trả;nộp tiền;giao dịch;payment
kiểm tra,thẩm định;xem xét;rà soát;kiểm soát
bắt đầu,khởi đầu;mở đầu;khai mạc;khởi động
kết thúc,chấm dứt;hoàn thành;hoàn tất;xong xuôi
